"";"time";"group";"type";"rate"
"1";0,2;"Dynamic non-REW";"D";6,15874097185913e-05
"2";0,4;"Dynamic non-REW";"D";6,74603174603175e-05
"3";0,6;"Dynamic non-REW";"D";3,17460317460317e-05
"4";0,8;"Dynamic non-REW";"D";4,36507936507937e-05
"5";1;"Dynamic non-REW";"D";1,19047619047619e-05
"6";1,2;"Dynamic non-REW";"D";2,38095238095238e-05
"7";1,4;"Dynamic non-REW";"D";7,93650793650794e-06
"8";1,6;"Dynamic non-REW";"D";1,98412698412698e-05
"9";1,8;"Dynamic non-REW";"D";1,58730158730159e-05
"10";2;"Dynamic non-REW";"D";1,58730158730159e-05
"11";2,2;"Dynamic non-REW";"D";7,93650793650794e-06
"12";2,4;"Dynamic non-REW";"D";1,19047619047619e-05
"13";2,6;"Dynamic non-REW";"D";7,93650793650794e-06
"14";2,8;"Dynamic non-REW";"D";1,58730158730159e-05
"15";3;"Dynamic non-REW";"D";7,93650793650794e-06
"16";3,2;"Dynamic non-REW";"D";3,96825396825397e-06
"17";3,4;"Dynamic non-REW";"D";1,98412698412698e-05
"18";3,6;"Dynamic non-REW";"D";1,19047619047619e-05
"19";3,8;"Dynamic non-REW";"D";7,93650793650794e-06
"20";4;"Dynamic non-REW";"D";1,58730158730159e-05
"21";4,2;"Dynamic non-REW";"D";7,93650793650794e-06
"22";4,4;"Dynamic non-REW";"D";1,58730158730159e-05
"23";4,6;"Dynamic non-REW";"D";3,96825396825397e-06
"24";4,8;"Dynamic non-REW";"D";2,38095238095238e-05
"25";5;"Dynamic non-REW";"D";0
"26";5,2;"Dynamic non-REW";"D";1,19047619047619e-05
"27";5,4;"Dynamic non-REW";"D";7,93650793650794e-06
"28";5,6;"Dynamic non-REW";"D";2,38095238095238e-05
"29";5,8;"Dynamic non-REW";"D";3,96825396825397e-06
"30";6;"Dynamic non-REW";"D";1,58730158730159e-05
"31";6,2;"Dynamic non-REW";"D";3,96825396825397e-06
"32";6,4;"Dynamic non-REW";"D";7,93650793650794e-06
"33";6,6;"Dynamic non-REW";"D";0
"34";6,8;"Dynamic non-REW";"D";3,96825396825397e-06
"35";7;"Dynamic non-REW";"D";3,96825396825397e-06
"36";7,2;"Dynamic non-REW";"D";7,93650793650794e-06
"37";7,4;"Dynamic non-REW";"D";3,96825396825397e-06
"38";7,6;"Dynamic non-REW";"D";0
"39";7,8;"Dynamic non-REW";"D";7,93650793650794e-06
"40";8;"Dynamic non-REW";"D";1,58730158730159e-05
"41";8,2;"Dynamic non-REW";"D";3,96825396825397e-06
"42";8,4;"Dynamic non-REW";"D";0
"43";8,6;"Dynamic non-REW";"D";0
"44";8,8;"Dynamic non-REW";"D";0
"45";9;"Dynamic non-REW";"D";3,96825396825397e-06
"46";9,2;"Dynamic non-REW";"D";3,96825396825397e-06
"47";9,4;"Dynamic non-REW";"D";7,93650793650794e-06
"48";9,6;"Dynamic non-REW";"D";3,96825396825397e-06
"49";9,8;"Dynamic non-REW";"D";0
"50";10;"Dynamic non-REW";"D";0
"51";10,2;"Dynamic non-REW";"D";3,96825396825397e-06
"52";10,4;"Dynamic non-REW";"D";1,58730158730159e-05
"53";10,6;"Dynamic non-REW";"D";7,93650793650794e-06
"54";10,8;"Dynamic non-REW";"D";2,38095238095238e-05
"55";11;"Dynamic non-REW";"D";0
"56";11,2;"Dynamic non-REW";"D";3,96825396825397e-06
"57";11,4;"Dynamic non-REW";"D";3,96825396825397e-06
"58";11,6;"Dynamic non-REW";"D";3,96825396825397e-06
"59";11,8;"Dynamic non-REW";"D";7,93650793650794e-06
"60";12;"Dynamic non-REW";"D";7,93650793650794e-06
"61";12,2;"Dynamic non-REW";"D";7,93650793650794e-06
"62";12,4;"Dynamic non-REW";"D";3,96825396825397e-06
"63";12,6;"Dynamic non-REW";"D";3,96825396825397e-06
"64";12,8;"Dynamic non-REW";"D";7,93650793650794e-06
"65";13;"Dynamic non-REW";"D";1,19047619047619e-05
"66";13,2;"Dynamic non-REW";"D";1,58730158730159e-05
"67";13,4;"Dynamic non-REW";"D";3,96825396825397e-06
"68";13,6;"Dynamic non-REW";"D";3,96825396825397e-06
"69";13,8;"Dynamic non-REW";"D";1,19047619047619e-05
"70";14;"Dynamic non-REW";"D";0
"71";14,2;"Dynamic non-REW";"D";1,19047619047619e-05
"72";14,4;"Dynamic non-REW";"D";0
"73";14,6;"Dynamic non-REW";"D";1,19047619047619e-05
"74";14,8;"Dynamic non-REW";"D";3,17460317460317e-05
"75";15;"Dynamic non-REW";"D";1,48647051872858e-05
"76";0,2;"Dynamic REW";"D";4,40675435027519e-05
"77";0,4;"Dynamic REW";"D";7,14285714285714e-05
"78";0,6;"Dynamic REW";"D";5,55555555555556e-05
"79";0,8;"Dynamic REW";"D";3,96825396825397e-05
"80";1;"Dynamic REW";"D";7,14285714285714e-05
"81";1,2;"Dynamic REW";"D";6,34920634920635e-05
"82";1,4;"Dynamic REW";"D";4,76190476190476e-05
"83";1,6;"Dynamic REW";"D";5,55555555555556e-05
"84";1,8;"Dynamic REW";"D";3,96825396825397e-05
"85";2;"Dynamic REW";"D";9,52380952380952e-05
"86";2,2;"Dynamic REW";"D";6,34920634920635e-05
"87";2,4;"Dynamic REW";"D";4,76190476190476e-05
"88";2,6;"Dynamic REW";"D";7,14285714285714e-05
"89";2,8;"Dynamic REW";"D";0,000126984126984127
"90";3;"Dynamic REW";"D";4,76190476190476e-05
"91";3,2;"Dynamic REW";"D";5,55555555555556e-05
"92";3,4;"Dynamic REW";"D";7,93650793650794e-05
"93";3,6;"Dynamic REW";"D";7,93650793650794e-05
"94";3,8;"Dynamic REW";"D";0,000126984126984127
"95";4;"Dynamic REW";"D";8,73015873015873e-05
"96";4,2;"Dynamic REW";"D";7,14285714285714e-05
"97";4,4;"Dynamic REW";"D";4,76190476190476e-05
"98";4,6;"Dynamic REW";"D";0,000119047619047619
"99";4,8;"Dynamic REW";"D";0,000103174603174603
"100";5;"Dynamic REW";"D";7,14285714285714e-05
"101";5,2;"Dynamic REW";"D";0,000126984126984127
"102";5,4;"Dynamic REW";"D";9,52380952380952e-05
"103";5,6;"Dynamic REW";"D";7,93650793650794e-05
"104";5,8;"Dynamic REW";"D";7,14285714285714e-05
"105";6;"Dynamic REW";"D";5,55555555555556e-05
"106";6,2;"Dynamic REW";"D";7,93650793650794e-05
"107";6,4;"Dynamic REW";"D";6,34920634920635e-05
"108";6,6;"Dynamic REW";"D";7,93650793650794e-05
"109";6,8;"Dynamic REW";"D";7,93650793650794e-05
"110";7;"Dynamic REW";"D";0,000119047619047619
"111";7,2;"Dynamic REW";"D";0,000103174603174603
"112";7,4;"Dynamic REW";"D";9,52380952380952e-05
"113";7,6;"Dynamic REW";"D";0,000119047619047619
"114";7,8;"Dynamic REW";"D";6,34920634920635e-05
"115";8;"Dynamic REW";"D";0,000103174603174603
"116";8,2;"Dynamic REW";"D";8,73015873015873e-05
"117";8,4;"Dynamic REW";"D";0,000103174603174603
"118";8,6;"Dynamic REW";"D";7,14285714285714e-05
"119";8,8;"Dynamic REW";"D";4,76190476190476e-05
"120";9;"Dynamic REW";"D";7,93650793650794e-05
"121";9,2;"Dynamic REW";"D";8,73015873015873e-05
"122";9,4;"Dynamic REW";"D";0,000111111111111111
"123";9,6;"Dynamic REW";"D";9,52380952380952e-05
"124";9,8;"Dynamic REW";"D";6,34920634920635e-05
"125";10;"Dynamic REW";"D";9,52380952380952e-05
"126";10,2;"Dynamic REW";"D";6,34920634920635e-05
"127";10,4;"Dynamic REW";"D";0,000119047619047619
"128";10,6;"Dynamic REW";"D";9,52380952380952e-05
"129";10,8;"Dynamic REW";"D";8,73015873015873e-05
"130";11;"Dynamic REW";"D";8,73015873015873e-05
"131";11,2;"Dynamic REW";"D";0,000126984126984127
"132";11,4;"Dynamic REW";"D";3,96825396825397e-05
"133";11,6;"Dynamic REW";"D";0,000126984126984127
"134";11,8;"Dynamic REW";"D";6,34920634920635e-05
"135";12;"Dynamic REW";"D";0,000103174603174603
"136";12,2;"Dynamic REW";"D";7,14285714285714e-05
"137";12,4;"Dynamic REW";"D";7,14285714285714e-05
"138";12,6;"Dynamic REW";"D";4,76190476190476e-05
"139";12,8;"Dynamic REW";"D";0,000111111111111111
"140";13;"Dynamic REW";"D";7,93650793650794e-05
"141";13,2;"Dynamic REW";"D";9,52380952380952e-05
"142";13,4;"Dynamic REW";"D";7,14285714285714e-05
"143";13,6;"Dynamic REW";"D";7,14285714285714e-05
"144";13,8;"Dynamic REW";"D";7,93650793650794e-05
"145";14;"Dynamic REW";"D";5,55555555555556e-05
"146";14,2;"Dynamic REW";"D";7,14285714285714e-05
"147";14,4;"Dynamic REW";"D";9,52380952380952e-05
"148";14,6;"Dynamic REW";"D";0,000103174603174603
"149";14,8;"Dynamic REW";"D";6,34920634920635e-05
"150";15;"Dynamic REW";"D";8,16058941058941e-05
"151";0,2;"Static non-REW";"S";6,78701118812305e-05
"152";0,4;"Static non-REW";"S";5,95238095238095e-05
"153";0,6;"Static non-REW";"S";4,36507936507936e-05
"154";0,8;"Static non-REW";"S";2,38095238095238e-05
"155";1;"Static non-REW";"S";1,58730158730159e-05
"156";1,2;"Static non-REW";"S";3,17460317460317e-05
"157";1,4;"Static non-REW";"S";1,98412698412698e-05
"158";1,6;"Static non-REW";"S";2,38095238095238e-05
"159";1,8;"Static non-REW";"S";7,93650793650794e-06
"160";2;"Static non-REW";"S";7,93650793650794e-06
"161";2,2;"Static non-REW";"S";3,96825396825397e-06
"162";2,4;"Static non-REW";"S";2,38095238095238e-05
"163";2,6;"Static non-REW";"S";3,96825396825397e-06
"164";2,8;"Static non-REW";"S";1,19047619047619e-05
"165";3;"Static non-REW";"S";1,19047619047619e-05
"166";3,2;"Static non-REW";"S";3,96825396825397e-06
"167";3,4;"Static non-REW";"S";3,96825396825397e-06
"168";3,6;"Static non-REW";"S";3,96825396825397e-06
"169";3,8;"Static non-REW";"S";3,96825396825397e-06
"170";4;"Static non-REW";"S";3,96825396825397e-06
"171";4,2;"Static non-REW";"S";1,19047619047619e-05
"172";4,4;"Static non-REW";"S";1,58730158730159e-05
"173";4,6;"Static non-REW";"S";3,96825396825397e-06
"174";4,8;"Static non-REW";"S";1,58730158730159e-05
"175";5;"Static non-REW";"S";7,93650793650794e-06
"176";5,2;"Static non-REW";"S";7,93650793650794e-06
"177";5,4;"Static non-REW";"S";0
"178";5,6;"Static non-REW";"S";7,93650793650794e-06
"179";5,8;"Static non-REW";"S";7,93650793650794e-06
"180";6;"Static non-REW";"S";3,96825396825397e-06
"181";6,2;"Static non-REW";"S";7,93650793650794e-06
"182";6,4;"Static non-REW";"S";7,93650793650794e-06
"183";6,6;"Static non-REW";"S";0
"184";6,8;"Static non-REW";"S";3,96825396825397e-06
"185";7;"Static non-REW";"S";1,19047619047619e-05
"186";7,2;"Static non-REW";"S";0
"187";7,4;"Static non-REW";"S";3,96825396825397e-06
"188";7,6;"Static non-REW";"S";3,96825396825397e-06
"189";7,8;"Static non-REW";"S";7,93650793650794e-06
"190";8;"Static non-REW";"S";7,93650793650794e-06
"191";8,2;"Static non-REW";"S";1,19047619047619e-05
"192";8,4;"Static non-REW";"S";3,96825396825397e-06
"193";8,6;"Static non-REW";"S";1,19047619047619e-05
"194";8,8;"Static non-REW";"S";7,93650793650794e-06
"195";9;"Static non-REW";"S";7,93650793650794e-06
"196";9,2;"Static non-REW";"S";3,96825396825397e-06
"197";9,4;"Static non-REW";"S";0
"198";9,6;"Static non-REW";"S";0
"199";9,8;"Static non-REW";"S";3,96825396825397e-06
"200";10;"Static non-REW";"S";3,96825396825397e-06
"201";10,2;"Static non-REW";"S";1,58730158730159e-05
"202";10,4;"Static non-REW";"S";3,96825396825397e-06
"203";10,6;"Static non-REW";"S";0
"204";10,8;"Static non-REW";"S";1,19047619047619e-05
"205";11;"Static non-REW";"S";1,58730158730159e-05
"206";11,2;"Static non-REW";"S";7,93650793650794e-06
"207";11,4;"Static non-REW";"S";3,96825396825397e-06
"208";11,6;"Static non-REW";"S";7,93650793650794e-06
"209";11,8;"Static non-REW";"S";3,96825396825397e-06
"210";12;"Static non-REW";"S";0
"211";12,2;"Static non-REW";"S";1,58730158730159e-05
"212";12,4;"Static non-REW";"S";3,96825396825397e-06
"213";12,6;"Static non-REW";"S";1,19047619047619e-05
"214";12,8;"Static non-REW";"S";1,19047619047619e-05
"215";13;"Static non-REW";"S";1,98412698412698e-05
"216";13,2;"Static non-REW";"S";3,96825396825397e-06
"217";13,4;"Static non-REW";"S";1,98412698412698e-05
"218";13,6;"Static non-REW";"S";1,58730158730159e-05
"219";13,8;"Static non-REW";"S";1,98412698412698e-05
"220";14;"Static non-REW";"S";1,58730158730159e-05
"221";14,2;"Static non-REW";"S";7,93650793650794e-06
"222";14,4;"Static non-REW";"S";3,96825396825397e-06
"223";14,6;"Static non-REW";"S";1,98412698412698e-05
"224";14,8;"Static non-REW";"S";1,19047619047619e-05
"225";15;"Static non-REW";"S";1,00281491907108e-05
"226";0,2;"Static REW";"S";8,11083548123714e-05
"227";0,4;"Static REW";"S";0,000119047619047619
"228";0,6;"Static REW";"S";5,55555555555556e-05
"229";0,8;"Static REW";"S";4,76190476190476e-05
"230";1;"Static REW";"S";3,96825396825397e-05
"231";1,2;"Static REW";"S";3,96825396825397e-05
"232";1,4;"Static REW";"S";8,73015873015873e-05
"233";1,6;"Static REW";"S";8,73015873015873e-05
"234";1,8;"Static REW";"S";7,93650793650794e-05
"235";2;"Static REW";"S";1,58730158730159e-05
"236";2,2;"Static REW";"S";4,76190476190476e-05
"237";2,4;"Static REW";"S";0,000103174603174603
"238";2,6;"Static REW";"S";4,76190476190476e-05
"239";2,8;"Static REW";"S";0,000111111111111111
"240";3;"Static REW";"S";7,93650793650794e-05
"241";3,2;"Static REW";"S";3,17460317460317e-05
"242";3,4;"Static REW";"S";6,34920634920635e-05
"243";3,6;"Static REW";"S";0,000111111111111111
"244";3,8;"Static REW";"S";0,000103174603174603
"245";4;"Static REW";"S";0,000119047619047619
"246";4,2;"Static REW";"S";0,000119047619047619
"247";4,4;"Static REW";"S";4,76190476190476e-05
"248";4,6;"Static REW";"S";9,52380952380952e-05
"249";4,8;"Static REW";"S";0,000103174603174603
"250";5;"Static REW";"S";0,000111111111111111
"251";5,2;"Static REW";"S";5,55555555555556e-05
"252";5,4;"Static REW";"S";7,93650793650794e-05
"253";5,6;"Static REW";"S";7,14285714285714e-05
"254";5,8;"Static REW";"S";0,000103174603174603
"255";6;"Static REW";"S";0,000103174603174603
"256";6,2;"Static REW";"S";0,000119047619047619
"257";6,4;"Static REW";"S";8,73015873015873e-05
"258";6,6;"Static REW";"S";7,14285714285714e-05
"259";6,8;"Static REW";"S";0,000142857142857143
"260";7;"Static REW";"S";0,000119047619047619
"261";7,2;"Static REW";"S";9,52380952380952e-05
"262";7,4;"Static REW";"S";7,14285714285714e-05
"263";7,6;"Static REW";"S";0,000119047619047619
"264";7,8;"Static REW";"S";3,96825396825397e-05
"265";8;"Static REW";"S";6,34920634920635e-05
"266";8,2;"Static REW";"S";9,52380952380952e-05
"267";8,4;"Static REW";"S";9,52380952380952e-05
"268";8,6;"Static REW";"S";0,000142857142857143
"269";8,8;"Static REW";"S";0,000126984126984127
"270";9;"Static REW";"S";5,55555555555556e-05
"271";9,2;"Static REW";"S";0,000134920634920635
"272";9,4;"Static REW";"S";5,55555555555556e-05
"273";9,6;"Static REW";"S";8,73015873015873e-05
"274";9,8;"Static REW";"S";0,000103174603174603
"275";10;"Static REW";"S";7,14285714285714e-05
"276";10,2;"Static REW";"S";5,55555555555556e-05
"277";10,4;"Static REW";"S";4,76190476190476e-05
"278";10,6;"Static REW";"S";9,52380952380952e-05
"279";10,8;"Static REW";"S";7,93650793650794e-05
"280";11;"Static REW";"S";7,93650793650794e-05
"281";11,2;"Static REW";"S";7,93650793650794e-05
"282";11,4;"Static REW";"S";8,73015873015873e-05
"283";11,6;"Static REW";"S";0,000111111111111111
"284";11,8;"Static REW";"S";6,34920634920635e-05
"285";12;"Static REW";"S";7,14285714285714e-05
"286";12,2;"Static REW";"S";7,93650793650794e-05
"287";12,4;"Static REW";"S";8,73015873015873e-05
"288";12,6;"Static REW";"S";8,73015873015873e-05
"289";12,8;"Static REW";"S";0,000103174603174603
"290";13;"Static REW";"S";6,34920634920635e-05
"291";13,2;"Static REW";"S";4,76190476190476e-05
"292";13,4;"Static REW";"S";9,52380952380952e-05
"293";13,6;"Static REW";"S";2,38095238095238e-05
"294";13,8;"Static REW";"S";6,34920634920635e-05
"295";14;"Static REW";"S";7,93650793650794e-05
"296";14,2;"Static REW";"S";5,55555555555556e-05
"297";14,4;"Static REW";"S";6,34920634920635e-05
"298";14,6;"Static REW";"S";0,000119047619047619
"299";14,8;"Static REW";"S";7,93650793650794e-05
"300";15;"Static REW";"S";6,14795918367347e-05
