"";"x";"predicted";"group";"facet";"stimulus"
"1";0,2;5,35099837334231e-05;"NR";"L";"Familiar non-REW"
"3";0,2;0,00013071675513444;"R";"L";"Familiar REW"
"5";0,4;5,03763330461017e-05;"NR";"L";"Familiar non-REW"
"7";0,4;0,000130402160471054;"R";"L";"Familiar REW"
"9";0,6;4,74886676833446e-05;"NR";"L";"Familiar non-REW"
"11";0,6;0,000130062729777192;"R";"L";"Familiar REW"
"13";0,8;4,48254987118394e-05;"NR";"L";"Familiar non-REW"
"15";0,8;0,000129698661057392;"R";"L";"Familiar REW"
"17";1;4,2367417636463e-05;"NR";"L";"Familiar non-REW"
"19";1;0,000129310166301543;"R";"L";"Familiar REW"
"21";1,2;4,00968803313502e-05;"NR";"L";"Familiar non-REW"
"23";1,2;0,000128897471279235;"R";"L";"Familiar REW"
"25";1,4;3,79980148918143e-05;"NR";"L";"Familiar non-REW"
"27";1,4;0,000128460815321176;"R";"L";"Familiar REW"
"29";1,6;3,605645061882e-05;"NR";"L";"Familiar non-REW"
"31";1,6;0,00012800045108797;"R";"L";"Familiar REW"
"33";1,8;3,42591656883082e-05;"NR";"L";"Familiar non-REW"
"35";1,8;0,000127516644326564;"R";"L";"Familiar REW"
"37";2;3,25943513549506e-05;"NR";"L";"Familiar non-REW"
"39";2;0,000127009673614707;"R";"L";"Familiar REW"
"41";2,2;3,10512907995894e-05;"NR";"L";"Familiar non-REW"
"43";2,2;0,000126479830093751;"R";"L";"Familiar REW"
"45";2,4;2,96202509566343e-05;"NR";"L";"Familiar non-REW"
"47";2,4;0,000125927417190157;"R";"L";"Familiar REW"
"49";2,6;2,82923858563029e-05;"NR";"L";"Familiar non-REW"
"51";2,6;0,000125352750326076;"R";"L";"Familiar REW"
"53";2,8;2,70596501905025e-05;"NR";"L";"Familiar non-REW"
"55";2,8;0,000124756156619405;"R";"L";"Familiar REW"
"57";3;2,59147219635456e-05;"NR";"L";"Familiar non-REW"
"59";3;0,00012413797457369;"R";"L";"Familiar REW"
"61";3,2;2,4850933222547e-05;"NR";"L";"Familiar non-REW"
"63";3,2;0,000123498553758314;"R";"L";"Familiar REW"
"65";3,4;2,38622079796513e-05;"NR";"L";"Familiar non-REW"
"67";3,4;0,000122838254479382;"R";"L";"Familiar REW"
"69";3,6;2,29430065412898e-05;"NR";"L";"Familiar non-REW"
"71";3,6;0,000122157447441727;"R";"L";"Familiar REW"
"73";3,8;2,20882755502426e-05;"NR";"L";"Familiar non-REW"
"75";3,8;0,000121456513402499;"R";"L";"Familiar REW"
"77";4;2,12934031259882e-05;"NR";"L";"Familiar non-REW"
"79";4;0,000120735842816771;"R";"L";"Familiar REW"
"81";4,2;2,05541785589986e-05;"NR";"L";"Familiar non-REW"
"83";4,2;0,00011999583547564;"R";"L";"Familiar REW"
"85";4,4;1,9866756076484e-05;"NR";"L";"Familiar non-REW"
"87";4,4;0,000119236900137277;"R";"L";"Familiar REW"
"89";4,6;1,92276222516456e-05;"NR";"L";"Familiar non-REW"
"91";4,6;0,00011845945415141;"R";"L";"Familiar REW"
"93";4,8;1,86335666766444e-05;"NR";"L";"Familiar non-REW"
"95";4,8;0,000117663923077716;"R";"L";"Familiar REW"
"97";5;1,80816555620496e-05;"NR";"L";"Familiar non-REW"
"99";5;0,000116850740298625;"R";"L";"Familiar REW"
"101";5,2;1,7569207963152e-05;"NR";"L";"Familiar non-REW"
"103";5,2;0,000116020346626999;"R";"L";"Familiar REW"
"105";5,4;1,70937743668399e-05;"NR";"L";"Familiar non-REW"
"107";5,4;0,000115173189909212;"R";"L";"Familiar REW"
"109";5,6;1,66531174022485e-05;"NR";"L";"Familiar non-REW"
"111";5,6;0,000114309724624107;"R";"L";"Familiar REW"
"113";5,8;1,62451944645722e-05;"NR";"L";"Familiar non-REW"
"115";5,8;0,000113430411478342;"R";"L";"Familiar REW"
"117";6;1,58681420646769e-05;"NR";"L";"Familiar non-REW"
"119";6;0,000112535716998629;"R";"L";"Familiar REW"
"121";6,2;1,55202617378183e-05;"NR";"L";"Familiar non-REW"
"123";6,2;0,000111626113121353;"R";"L";"Familiar REW"
"125";6,4;1,52000073631707e-05;"NR";"L";"Familiar non-REW"
"127";6,4;0,000110702076780095;"R";"L";"Familiar REW"
"129";6,6;1,49059737622755e-05;"NR";"L";"Familiar non-REW"
"131";6,6;0,000109764089491545;"R";"L";"Familiar REW"
"133";6,8;1,46368864591672e-05;"NR";"L";"Familiar non-REW"
"135";6,8;0,000108812636940304;"R";"L";"Familiar REW"
"137";7;1,43915924980362e-05;"NR";"L";"Familiar non-REW"
"139";7;0,000107848208563088;"R";"L";"Familiar REW"
"141";7,2;1,41690522260349e-05;"NR";"L";"Familiar non-REW"
"143";7,2;0,000106871297132808;"R";"L";"Familiar REW"
"145";7,4;1,39683319593859e-05;"NR";"L";"Familiar non-REW"
"147";7,4;0,000105882398343026;"R";"L";"Familiar REW"
"149";7,6;1,37885974604584e-05;"NR";"L";"Familiar non-REW"
"151";7,6;0,000104882010393273;"R";"L";"Familiar REW"
"153";7,8;1,36291081620694e-05;"NR";"L";"Familiar non-REW"
"155";7,8;0,000103870633575698;"R";"L";"Familiar REW"
"157";8;1,34892120830573e-05;"NR";"L";"Familiar non-REW"
"159";8;0,000102848769863542;"R";"L";"Familiar REW"
"161";8,2;1,33683413862691e-05;"NR";"L";"Familiar non-REW"
"163";8,2;0,000101816922501872;"R";"L";"Familiar REW"
"165";8,4;1,32660085365929e-05;"NR";"L";"Familiar non-REW"
"167";8,4;0,000100775595601068;"R";"L";"Familiar REW"
"169";8,6;1,31818030226398e-05;"NR";"L";"Familiar non-REW"
"171";8,6;9,97252937334849e-05;"R";"L";"Familiar REW"
"173";8,8;1,31153886112052e-05;"NR";"L";"Familiar non-REW"
"175";8,8;9,86665215337491e-05;"R";"L";"Familiar REW"
"177";9;1,30665011087947e-05;"NR";"L";"Familiar non-REW"
"179";9;9,7599783303113e-05;"R";"L";"Familiar REW"
"181";9,2;1,30349466093435e-05;"NR";"L";"Familiar non-REW"
"183";9,2;9,65255826182939e-05;"R";"L";"Familiar REW"
"185";9,4;1,30206002118522e-05;"NR";"L";"Familiar non-REW"
"187";9,4;9,54444219452057e-05;"R";"L";"Familiar REW"
"189";9,6;1,30234051960624e-05;"NR";"L";"Familiar non-REW"
"191";9,6;9,43568022579877e-05;"R";"L";"Familiar REW"
"193";9,8;1,30433726485511e-05;"NR";"L";"Familiar non-REW"
"195";9,8;9,32632226637145e-05;"R";"L";"Familiar REW"
"197";10;1,30805815357926e-05;"NR";"L";"Familiar non-REW"
"199";10;9,21641800331693e-05;"R";"L";"Familiar REW"
"201";10,2;1,31351792248632e-05;"NR";"L";"Familiar non-REW"
"203";10,2;9,10601686380404e-05;"R";"L";"Familiar REW"
"205";10,4;1,32073824565951e-05;"NR";"L";"Familiar non-REW"
"207";10,4;8,99516797948952e-05;"R";"L";"Familiar REW"
"209";10,6;1,32974787801827e-05;"NR";"L";"Familiar non-REW"
"211";10,6;8,88392015162677e-05;"R";"L";"Familiar REW"
"213";10,8;1,34058284625373e-05;"NR";"L";"Familiar non-REW"
"215";10,8;8,77232181691846e-05;"R";"L";"Familiar REW"
"217";11;1,35328668901495e-05;"NR";"L";"Familiar non-REW"
"219";11;8,66042101414416e-05;"R";"L";"Familiar REW"
"221";11,2;1,36791074858817e-05;"NR";"L";"Familiar non-REW"
"223";11,2;8,54826535159209e-05;"R";"L";"Familiar REW"
"225";11,4;1,38451451680575e-05;"NR";"L";"Familiar non-REW"
"227";11,4;8,43590197532377e-05;"R";"L";"Familiar REW"
"229";11,6;1,4031660384481e-05;"NR";"L";"Familiar non-REW"
"231";11,6;8,32337753829761e-05;"R";"L";"Familiar REW"
"233";11,8;1,4239423759683e-05;"NR";"L";"Familiar non-REW"
"235";11,8;8,21073817037683e-05;"R";"L";"Familiar REW"
"237";12;1,44693013998264e-05;"NR";"L";"Familiar non-REW"
"239";12;8,09802944924519e-05;"R";"L";"Familiar REW"
"241";12,2;1,47222609063789e-05;"NR";"L";"Familiar non-REW"
"243";12,2;7,9852963722525e-05;"R";"L";"Familiar REW"
"245";12,4;1,49993781569736e-05;"NR";"L";"Familiar non-REW"
"247";12,4;7,87258332921046e-05;"R";"L";"Familiar REW"
"249";12,6;1,5301844919918e-05;"NR";"L";"Familiar non-REW"
"251";12,6;7,7599340761576e-05;"R";"L";"Familiar REW"
"253";12,8;1,56309773776898e-05;"NR";"L";"Familiar non-REW"
"255";12,8;7,64739171011055e-05;"R";"L";"Familiar REW"
"257";13;1,59882256445909e-05;"NR";"L";"Familiar non-REW"
"259";13;7,53499864481753e-05;"R";"L";"Familiar REW"
"261";13,2;1,6375184374659e-05;"NR";"L";"Familiar non-REW"
"263";13,2;7,42279658752796e-05;"R";"L";"Familiar REW"
"265";13,4;1,67936045681048e-05;"NR";"L";"Familiar non-REW"
"267";13,4;7,31082651679067e-05;"R";"L";"Familiar REW"
"269";13,6;1,72454066981314e-05;"NR";"L";"Familiar non-REW"
"271";13,6;7,19912866129187e-05;"R";"L";"Familiar REW"
"273";13,8;1,77326952951907e-05;"NR";"L";"Familiar non-REW"
"275";13,8;7,08774247974199e-05;"R";"L";"Familiar REW"
"277";14;1,82577751427581e-05;"NR";"L";"Familiar non-REW"
"279";14;6,97670664181917e-05;"R";"L";"Familiar REW"
"281";14,2;1,88231692578206e-05;"NR";"L";"Familiar non-REW"
"283";14,2;6,86605901017566e-05;"R";"L";"Familiar REW"
"285";14,4;1,94316388507467e-05;"NR";"L";"Familiar non-REW"
"287";14,4;6,75583662351184e-05;"R";"L";"Familiar REW"
"289";14,6;2,00862054833733e-05;"NR";"L";"Familiar non-REW"
"291";14,6;6,6460756807208e-05;"R";"L";"Familiar REW"
"293";14,8;2,0790175671368e-05;"NR";"L";"Familiar non-REW"
"295";14,8;6,53681152610529e-05;"R";"L";"Familiar REW"
"297";15;2,15471682076269e-05;"NR";"L";"Familiar non-REW"
"299";15;6,42807863566691e-05;"R";"L";"Familiar REW"
