"";"time";"group";"type";"rate";"stimulus"
"151";0,2;"NR";"N";0,000148654513888889;"Compl non-REW"
"152";0,4;"NR";"N";0,000152777777777778;"Compl non-REW"
"153";0,6;"NR";"N";0,000128472222222222;"Compl non-REW"
"154";0,8;"NR";"N";0,000125;"Compl non-REW"
"155";1;"NR";"N";9,375e-05;"Compl non-REW"
"156";1,2;"NR";"N";0,000111111111111111;"Compl non-REW"
"157";1,4;"NR";"N";0,000145833333333333;"Compl non-REW"
"158";1,6;"NR";"N";0,000111111111111111;"Compl non-REW"
"159";1,8;"NR";"N";8,68055555555556e-05;"Compl non-REW"
"160";2;"NR";"N";0,000118055555555556;"Compl non-REW"
"161";2,2;"NR";"N";0,00015625;"Compl non-REW"
"162";2,4;"NR";"N";0,000114583333333333;"Compl non-REW"
"163";2,6;"NR";"N";0,000121527777777778;"Compl non-REW"
"164";2,8;"NR";"N";0,000111111111111111;"Compl non-REW"
"165";3;"NR";"N";0,000121527777777778;"Compl non-REW"
"166";3,2;"NR";"N";0,000121527777777778;"Compl non-REW"
"167";3,4;"NR";"N";7,98611111111111e-05;"Compl non-REW"
"168";3,6;"NR";"N";7,63888888888889e-05;"Compl non-REW"
"169";3,8;"NR";"N";9,72222222222222e-05;"Compl non-REW"
"170";4;"NR";"N";8,33333333333333e-05;"Compl non-REW"
"171";4,2;"NR";"N";0,000159722222222222;"Compl non-REW"
"172";4,4;"NR";"N";6,59722222222222e-05;"Compl non-REW"
"173";4,6;"NR";"N";0,000100694444444444;"Compl non-REW"
"174";4,8;"NR";"N";0,000104166666666667;"Compl non-REW"
"175";5;"NR";"N";0,000111111111111111;"Compl non-REW"
"176";5,2;"NR";"N";8,68055555555556e-05;"Compl non-REW"
"177";5,4;"NR";"N";6,25e-05;"Compl non-REW"
"178";5,6;"NR";"N";6,59722222222222e-05;"Compl non-REW"
"179";5,8;"NR";"N";7,63888888888889e-05;"Compl non-REW"
"180";6;"NR";"N";9,375e-05;"Compl non-REW"
"181";6,2;"NR";"N";9,375e-05;"Compl non-REW"
"182";6,4;"NR";"N";9,375e-05;"Compl non-REW"
"183";6,6;"NR";"N";8,33333333333333e-05;"Compl non-REW"
"184";6,8;"NR";"N";6,59722222222222e-05;"Compl non-REW"
"185";7;"NR";"N";5,20833333333333e-05;"Compl non-REW"
"186";7,2;"NR";"N";6,94444444444444e-05;"Compl non-REW"
"187";7,4;"NR";"N";7,63888888888889e-05;"Compl non-REW"
"188";7,6;"NR";"N";7,98611111111111e-05;"Compl non-REW"
"189";7,8;"NR";"N";6,94444444444444e-05;"Compl non-REW"
"190";8;"NR";"N";7,63888888888889e-05;"Compl non-REW"
"191";8,2;"NR";"N";7,63888888888889e-05;"Compl non-REW"
"192";8,4;"NR";"N";6,59722222222222e-05;"Compl non-REW"
"193";8,6;"NR";"N";4,86111111111111e-05;"Compl non-REW"
"194";8,8;"NR";"N";7,29166666666667e-05;"Compl non-REW"
"195";9;"NR";"N";5,20833333333333e-05;"Compl non-REW"
"196";9,2;"NR";"N";6,94444444444444e-05;"Compl non-REW"
"197";9,4;"NR";"N";5,90277777777778e-05;"Compl non-REW"
"198";9,6;"NR";"N";5,90277777777778e-05;"Compl non-REW"
"199";9,8;"NR";"N";5,20833333333333e-05;"Compl non-REW"
"200";10;"NR";"N";5,20833333333333e-05;"Compl non-REW"
"201";0,2;"R";"N";9,35329861111111e-05;"Compl REW"
"202";0,4;"R";"N";6,94444444444444e-05;"Compl REW"
"203";0,6;"R";"N";7,63888888888889e-05;"Compl REW"
"204";0,8;"R";"N";0,000107638888888889;"Compl REW"
"205";1;"R";"N";7,98611111111111e-05;"Compl REW"
"206";1,2;"R";"N";0,000121527777777778;"Compl REW"
"207";1,4;"R";"N";0,000163194444444444;"Compl REW"
"208";1,6;"R";"N";0,000114583333333333;"Compl REW"
"209";1,8;"R";"N";0,000152777777777778;"Compl REW"
"210";2;"R";"N";0,000114583333333333;"Compl REW"
"211";2,2;"R";"N";0,000152777777777778;"Compl REW"
"212";2,4;"R";"N";0,000104166666666667;"Compl REW"
"213";2,6;"R";"N";9,375e-05;"Compl REW"
"214";2,8;"R";"N";0,000128472222222222;"Compl REW"
"215";3;"R";"N";0,000142361111111111;"Compl REW"
"216";3,2;"R";"N";0,000125;"Compl REW"
"217";3,4;"R";"N";0,000114583333333333;"Compl REW"
"218";3,6;"R";"N";0,000149305555555556;"Compl REW"
"219";3,8;"R";"N";0,000114583333333333;"Compl REW"
"220";4;"R";"N";0,000121527777777778;"Compl REW"
"221";4,2;"R";"N";0,000118055555555556;"Compl REW"
"222";4,4;"R";"N";0,000145833333333333;"Compl REW"
"223";4,6;"R";"N";0,000107638888888889;"Compl REW"
"224";4,8;"R";"N";0,000114583333333333;"Compl REW"
"225";5;"R";"N";9,375e-05;"Compl REW"
"226";5,2;"R";"N";0,000131944444444444;"Compl REW"
"227";5,4;"R";"N";0,000111111111111111;"Compl REW"
"228";5,6;"R";"N";8,33333333333333e-05;"Compl REW"
"229";5,8;"R";"N";0,000100694444444444;"Compl REW"
"230";6;"R";"N";0,000107638888888889;"Compl REW"
"231";6,2;"R";"N";0,000114583333333333;"Compl REW"
"232";6,4;"R";"N";7,98611111111111e-05;"Compl REW"
"233";6,6;"R";"N";0,000104166666666667;"Compl REW"
"234";6,8;"R";"N";0,000131944444444444;"Compl REW"
"235";7;"R";"N";8,33333333333333e-05;"Compl REW"
"236";7,2;"R";"N";0,000107638888888889;"Compl REW"
"237";7,4;"R";"N";9,375e-05;"Compl REW"
"238";7,6;"R";"N";8,68055555555556e-05;"Compl REW"
"239";7,8;"R";"N";0,000111111111111111;"Compl REW"
"240";8;"R";"N";7,29166666666667e-05;"Compl REW"
"241";8,2;"R";"N";7,29166666666667e-05;"Compl REW"
"242";8,4;"R";"N";0,000104166666666667;"Compl REW"
"243";8,6;"R";"N";0,000121527777777778;"Compl REW"
"244";8,8;"R";"N";9,375e-05;"Compl REW"
"245";9;"R";"N";7,63888888888889e-05;"Compl REW"
"246";9,2;"R";"N";8,68055555555556e-05;"Compl REW"
"247";9,4;"R";"N";7,29166666666667e-05;"Compl REW"
"248";9,6;"R";"N";9,02777777777778e-05;"Compl REW"
"249";9,8;"R";"N";9,375e-05;"Compl REW"
"250";10;"R";"N";9,78535353535353e-05;"Compl REW"
